id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment
139483950,Ủy viên trưởng Ủy ban Thường vụ Đại hội Đại biểu Nhân dân Toàn quốc,Vuminhtram,False,1774447663,vi.wikipedia.org,0,/* Quyền hạn */,10106,10678,74691361,74889847,False,False,viwiki,https://vi.wikipedia.org/wiki/%E1%BB%A6y_vi%C3%AAn_tr%C6%B0%E1%BB%9Fng_%E1%BB%A6y_ban_Th%C6%B0%E1%BB%9Dng_v%E1%BB%A5_%C4%90%E1%BA%A1i_h%E1%BB%99i_%C4%90%E1%BA%A1i_bi%E1%BB%83u_Nh%C3%A2n_d%C3%A2n_To%C3%A0n_qu%E1%BB%91c,https://vi.wikipedia.org/w/index.php?diff=74889847&oldid=74691361,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
139483952,Mohamed Salah,Nguyễn Bảo Thy 1998,False,1774447662,vi.wikipedia.org,0,/* 2024–2025: Chiến dịch Ngoại hạng Anh phá vỡ các kỷ lục */,160194,170948,74842702,74889846,False,True,viwiki,https://vi.wikipedia.org/wiki/Mohamed_Salah,https://vi.wikipedia.org/w/index.php?diff=74889846&oldid=74842702,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
139483959,Sinh vật huyền bí và nơi tìm ra chúng (phim),~2026-18669-14,False,1774447711,vi.wikipedia.org,0,,32198,32199,72201229,74889848,False,False,viwiki,https://vi.wikipedia.org/wiki/Sinh_v%E1%BA%ADt_huy%E1%BB%81n_b%C3%AD_v%C3%A0_n%C6%A1i_t%C3%ACm_ra_ch%C3%BAng_(phim),https://vi.wikipedia.org/w/index.php?diff=74889848&oldid=72201229,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
139483962,Phan Văn Đức,Ananan123,False,1774447735,vi.wikipedia.org,0,,15574,15483,74626912,74889849,False,False,viwiki,https://vi.wikipedia.org/wiki/Phan_V%C4%83n_%C4%90%E1%BB%A9c,https://vi.wikipedia.org/w/index.php?diff=74889849&oldid=74626912,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
