id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment
139488891,Biển Caspi,Newone,False,1774502644,vi.wikipedia.org,0,/* Động vật bản địa */,12978,13539,74891254,74891306,False,True,viwiki,https://vi.wikipedia.org/wiki/Bi%E1%BB%83n_Caspi,https://vi.wikipedia.org/w/index.php?diff=74891306&oldid=74891254,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
139488894,Coventry City F.C.,Wrexhamfans123,False,1774502686,vi.wikipedia.org,0,,170090,170090,74891300,74891307,True,False,viwiki,https://vi.wikipedia.org/wiki/Coventry_City_F.C.,https://vi.wikipedia.org/w/index.php?diff=74891307&oldid=74891300,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
139488902,Bến xe An Sương,CrystalizedMetal,False,1774502754,vi.wikipedia.org,0,/* Tranh cãi */,3891,3961,74889939,74891309,True,False,viwiki,https://vi.wikipedia.org/wiki/B%E1%BA%BFn_xe_An_S%C6%B0%C6%A1ng,https://vi.wikipedia.org/w/index.php?diff=74891309&oldid=74889939,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
139488903,Coventry City F.C.,Wrexhamfans123,False,1774502753,vi.wikipedia.org,0,,170090,170168,74891307,74891308,True,False,viwiki,https://vi.wikipedia.org/wiki/Coventry_City_F.C.,https://vi.wikipedia.org/w/index.php?diff=74891308&oldid=74891307,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
139488916,Coventry City F.C.,Wrexhamfans123,False,1774502978,vi.wikipedia.org,0,,170168,170168,74891308,74891311,True,False,viwiki,https://vi.wikipedia.org/wiki/Coventry_City_F.C.,https://vi.wikipedia.org/w/index.php?diff=74891311&oldid=74891308,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
139488923,Khánh Hà (ca sĩ),Yanee134,False,1774503032,vi.wikipedia.org,0,/* Thân thế */,26808,26853,74531032,74891312,False,False,viwiki,https://vi.wikipedia.org/wiki/Kh%C3%A1nh_H%C3%A0_(ca_s%C4%A9),https://vi.wikipedia.org/w/index.php?diff=74891312&oldid=74531032,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
139488929,Việt Tú (đạo diễn),Kim Jang 1,False,1774503176,vi.wikipedia.org,0,Xem bài [[Rain (nghệ sĩ)]],68979,68989,74891211,74891315,True,True,viwiki,https://vi.wikipedia.org/wiki/Vi%E1%BB%87t_T%C3%BA_(%C4%91%E1%BA%A1o_di%E1%BB%85n),https://vi.wikipedia.org/w/index.php?diff=74891315&oldid=74891211,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
139488935,Vanja Milinković-Savić,~2026-18958-75,False,1774503231,vi.wikipedia.org,0,,5121,5215,74646816,74891319,False,False,viwiki,https://vi.wikipedia.org/wiki/Vanja_Milinkovi%C4%87-Savi%C4%87,https://vi.wikipedia.org/w/index.php?diff=74891319&oldid=74646816,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
