id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment,llm_class,llm_conf,llm_reason,mass_llm
139474544,Hàn (họ),~2026-36476-2,False,1774370977,vi.wikipedia.org,0,/* Những người Trung Quốc họ Hàn có danh tiếng */,5068,5140,74883216,74887987,False,False,viwiki,https://vi.wikipedia.org/wiki/H%C3%A0n_(h%E1%BB%8D),https://vi.wikipedia.org/w/index.php?diff=74887987&oldid=74883216,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
139474546,Gioan Baotixita Phạm Minh Mẫn,ThiênĐế98,False,1774370985,vi.wikipedia.org,0,/* Quá trình tu học */,363662,364228,74887983,74887988,False,True,viwiki,https://vi.wikipedia.org/wiki/Gioan_Baotixita_Ph%E1%BA%A1m_Minh_M%E1%BA%ABn,https://vi.wikipedia.org/w/index.php?diff=74887988&oldid=74887983,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
