id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url
139480524,Bảo tàng Quang Trung,Thái Nhi,False,1774426539,vi.wikipedia.org,0,,53099,53124,74518749,74889085,False,True,viwiki,https://vi.wikipedia.org/wiki/B%E1%BA%A3o_t%C3%A0ng_Quang_Trung,https://vi.wikipedia.org/w/index.php?diff=74889085&oldid=74518749
139480533,Phạm Ngọc Thuần,Sundance Kid VN,False,1774426597,vi.wikipedia.org,0,,7545,8713,74889050,74889086,False,True,viwiki,https://vi.wikipedia.org/wiki/Ph%E1%BA%A1m_Ng%E1%BB%8Dc_Thu%E1%BA%A7n,https://vi.wikipedia.org/w/index.php?diff=74889086&oldid=74889050
139480551,Phạm Ngọc Thuần,Sundance Kid VN,False,1774426713,vi.wikipedia.org,0,,8713,9026,74889086,74889087,False,True,viwiki,https://vi.wikipedia.org/wiki/Ph%E1%BA%A1m_Ng%E1%BB%8Dc_Thu%E1%BA%A7n,https://vi.wikipedia.org/w/index.php?diff=74889087&oldid=74889086
